Programma;Zender;Datum;Start;Duur;Kijkcijfers;ranking;period;reportType
JONAS & JELLE, FROM ZERO TO HERO;VTM2;2025-05-25;1325.0;50.0;204436;15;daily;north
DE TAFEL VAN GERT;PLAY4;2025-05-26;1199.0;66.0;205576;19;daily;north
DAGELIJKSE KOST;VRT 1;2025-05-26;1091.0;16.0;285401;14;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-05-26;780.0;31.0;353385;11;daily;north
HET JOURNAAL LAAT;VRT 1;2025-05-26;1332.0;27.0;251468;15;daily;north
ZELFDE DEUR, 20 JAAR LATER;VRT 1;2025-05-26;1290.0;40.0;470558;10;daily;north
CAMPUS CUP;VRT CANVAS;2025-05-26;1354.0;49.0;305759;12;daily;north
DE AFSPRAAK;VRT CANVAS;2025-05-26;1236.0;49.0;236849;16;daily;north
TER ZAKE;VRT CANVAS;2025-05-26;1200.0;33.0;186411;20;daily;north
BAR GOENS;VTM;2025-05-26;1322.0;50.0;209582;18;daily;north
MILO;VTM;2025-05-26;1103.0;24.0;288340;13;daily;north
NIEUWS 13U VTM;VTM;2025-05-26;780.0;32.0;232622;17;daily;north
ASSISEN;PLAY4;2025-05-27;1281.0;39.0;497516;9;daily;north
DE TAFEL VAN GERT;PLAY4;2025-05-27;1199.0;70.0;244259;16;daily;north
BLOKKEN;VRT 1;2025-05-27;1109.0;28.0;556020;8;daily;north
DAGELIJKSE KOST;VRT 1;2025-05-27;1091.0;16.0;303250;11;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-05-27;780.0;29.0;360089;10;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-05-27;1140.0;47.0;883041;2;daily;north
IEDEREEN BEROEMD;VRT 1;2025-05-27;1188.0;20.0;654408;5;daily;north
MET DE WIND MEE;VRT 1;2025-05-27;1243.0;43.0;697502;4;daily;north
POLITIE 24/7;VRT 1;2025-05-27;1286.0;44.0;253583;13;daily;north
RECHT OP RECHT;VRT 1;2025-05-27;1026.0;57.0;196964;19;daily;north
THUIS;VRT 1;2025-05-27;1216.0;26.0;992198;1;daily;north
CAMPUS CUP;VRT CANVAS;2025-05-27;1328.0;48.0;288047;12;daily;north
TER ZAKE;VRT CANVAS;2025-05-27;1200.0;34.0;194878;20;daily;north
BAR GOENS;VTM;2025-05-27;1313.0;48.0;250736;15;daily;north
FAMILIE;VTM;2025-05-27;1208.0;25.0;594156;6;daily;north
HUIS GEMAAKT;VTM;2025-05-27;1242.0;53.0;711493;3;daily;north
MILO;VTM;2025-05-27;1103.0;25.0;252415;14;daily;north
NIEUWS 13U VTM;VTM;2025-05-27;780.0;29.0;224610;18;daily;north
NIEUWS 19U VTM;VTM;2025-05-27;1140.0;55.0;585067;7;daily;north
VLAAMSE CAMPINGS IN HET BUITENLAND;VTM2;2025-05-27;1301.0;43.0;226876;17;daily;north
DE TAFEL VAN GERT;PLAY4;2025-05-28;1199.0;69.0;238187;16;daily;north
VIVA LA FETA;PLAY4;2025-05-28;1281.0;52.0;527369;6;daily;north
BLOKKEN;VRT 1;2025-05-28;1109.0;28.0;487915;8;daily;north
DAGELIJKSE KOST;VRT 1;2025-05-28;1092.0;15.0;277390;12;daily;north
FIRST DATES;VRT 1;2025-05-28;1308.0;45.0;178741;19;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-05-28;780.0;24.0;329305;10;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-05-28;1140.0;45.0;746646;2;daily;north
HET JOURNAAL LAAT;VRT 1;2025-05-28;1354.0;33.0;205282;18;daily;north
IEDEREEN BEROEMD;VRT 1;2025-05-28;1188.0;22.0;554490;4;daily;north
ONS HUIS, NIEUW HUIS;VRT 1;2025-05-28;1243.0;64.0;738041;3;daily;north
RECHT OP RECHT;VRT 1;2025-05-28;1030.0;53.0;173900;20;daily;north
THUIS;VRT 1;2025-05-28;1220.0;23.0;955431;1;daily;north
CAMPUS CUP;VRT CANVAS;2025-05-28;1324.0;46.0;252297;14;daily;north
BAR GOENS;VTM;2025-05-28;1311.0;50.0;239338;15;daily;north
FAMILIE;VTM;2025-05-28;1206.0;25.0;514174;7;daily;north
MILO;VTM;2025-05-28;1104.0;24.0;272562;13;daily;north
NIEUWS 13U VTM;VTM;2025-05-28;780.0;25.0;231257;17;daily;north
NIEUWS 19U VTM;VTM;2025-05-28;1140.0;54.0;530296;5;daily;north
WAT VERDIENT VLAANDEREN?;VTM;2025-05-28;1240.0;55.0;466433;9;daily;north
EEN ECHTE JOB, VROEDVROUW AN;VTM2;2025-05-28;1301.0;52.0;317733;11;daily;north
DE TAFEL VAN GERT;PLAY4;2025-05-29;1199.0;66.0;238644;16;daily;north
JUNIOR BAKE OFF VLAANDEREN;PLAY4;2025-05-29;1277.0;46.0;232438;18;daily;north
112 HULP IS ONDERWEG;VRT 1;2025-05-29;1278.0;46.0;221043;19;daily;north
BLOKKEN;VRT 1;2025-05-29;1109.0;28.0;466516;7;daily;north
DAGELIJKSE KOST;VRT 1;2025-05-29;1092.0;15.0;307237;10;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-05-29;780.0;25.0;363063;9;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-05-29;1140.0;39.0;806825;2;daily;north
HET JOURNAAL LAAT;VRT 1;2025-05-29;1325.0;16.0;267821;14;daily;north
IEDEREEN BEROEMD;VRT 1;2025-05-29;1180.0;20.0;559617;4;daily;north
RECHT OP RECHT;VRT 1;2025-05-29;1034.0;49.0;235919;17;daily;north
THUIS;VRT 1;2025-05-29;1205.0;25.0;935410;1;daily;north
WONDER BOVEN WONDER;VRT 1;2025-05-29;1231.0;44.0;444456;8;daily;north
CAMPUS CUP;VRT CANVAS;2025-05-29;1352.0;49.0;243680;15;daily;north
BAR GOENS;VTM;2025-05-29;1323.0;44.0;301106;11;daily;north
FAMILIE;VTM;2025-05-29;1205.0;25.0;551208;5;daily;north
HUIS GEMAAKT;VTM;2025-05-29;1240.0;66.0;694184;3;daily;north
MILO;VTM;2025-05-29;1103.0;25.0;272251;13;daily;north
NIEUWS 13U VTM;VTM;2025-05-29;780.0;26.0;285468;12;daily;north
NIEUWS 19U VTM;VTM;2025-05-29;1140.0;54.0;525979;6;daily;north
TELEFACTS;VTM;2025-05-29;1372.0;59.0;176256;20;daily;north
CYCL. GIRO D'ITALIA;EUROSPORT 1 (NL);2025-05-30;720.0;301.0;119933;19;daily;north
THE REAL HOUSEWIVES OF ANTWERP;PLAY4;2025-05-30;1240.0;57.0;288302;10;daily;north
BLOKKEN;VRT 1;2025-05-30;1110.0;28.0;417747;7;daily;north
DAGELIJKSE KOST;VRT 1;2025-05-30;1092.0;15.0;192532;12;daily;north
DE CLUB;VRT 1;2025-05-30;1286.0;29.0;109696;20;daily;north
GIRO MAGAZINE;VRT 1;2025-05-30;1340.0;16.0;168761;15;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-05-30;780.0;33.0;357288;9;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-05-30;1140.0;46.0;624214;2;daily;north
HET JOURNAAL LAAT;VRT 1;2025-05-30;1318.0;17.0;160589;16;daily;north
IEDEREEN BEROEMD;VRT 1;2025-05-30;1188.0;20.0;528091;4;daily;north
IK HEB HET U LETTERLIJK JUIST GEZEGD;VRT 1;2025-05-30;1361.0;48.0;158146;17;daily;north
LA VIE EN ROSE;VRT 1;2025-05-30;1239.0;46.0;366614;8;daily;north
THUIS;VRT 1;2025-05-30;1215.0;22.0;921939;1;daily;north
RIDLEY;VRT CANVAS;2025-05-30;1359.0;89.0;228356;11;daily;north
