Programma;Zender;Datum;Start;Duur;Kijkcijfers;ranking;period;reportType
DE RECHTBANK;PLAY4;2024-12-15;1195;47;188107;15;daily;north
SPORTS LATE NIGHT;PLAY4;2024-12-15;1317;56;149304;17;daily;north
STUKKEN VAN DEALERS;PLAY4;2024-12-15;1256;45;137406;20;daily;north
NCIS, HAWAII;PLAY5;2024-12-15;1225;41;157803;16;daily;north
CIAO RUDI;VRT 1;2024-12-15;1319;53;832122;3;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-15;1091;45;301533;10;daily;north
DE COLUMBUS;VRT 1;2024-12-15;1204;58;1163619;1;daily;north
DE ZEVENDE DAG;VRT 1;2024-12-15;660;117;277060;11;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-15;780;32;481368;6;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-15;1140;29;911723;2;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-15;1376;17;276540;12;daily;north
NADIYA'S ASIAN ODYSSEY;VRT 1;2024-12-15;817;44;148781;18;daily;north
ONDER VUUR;VRT 1;2024-12-15;1265;52;788187;4;daily;north
SPORTWEEKEND;VRT 1;2024-12-15;1169;28;711347;5;daily;north
VELDRIJDEN. NAMEN (S.);VRT 1;2024-12-15;1056;19;146940;19;daily;north
BLIND GETROUWD, HET VIJFDE HUWELIJK;VTM;2024-12-15;1198;69;353631;9;daily;north
HET CONCLAAF VAN 2024;VTM;2024-12-15;1284;63;392861;8;daily;north
NIEUWS 13U VTM;VTM;2024-12-15;780;40;200947;14;daily;north
NIEUWS 19U VTM;VTM;2024-12-15;1140;46;478920;7;daily;north
S.O.S. PIET XL;VTM;2024-12-15;1101;24;201036;13;daily;north
DE SLIMSTE MENS TER WERELD;PLAY4;2024-12-16;1276;64;1043094;2;daily;north
DE TAFEL VAN GERT;PLAY4;2024-12-16;1199;63;299182;13;daily;north
BLOKKEN;VRT 1;2024-12-16;1109;27;650441;7;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-16;1089;16;342100;11;daily;north
FIRST DATES;VRT 1;2024-12-16;1310;45;185729;19;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-16;780;33;387571;10;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-16;1140;44;977918;3;daily;north
HET HOGE NOORDEN;VRT 1;2024-12-16;1259;49;862270;4;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-16;1360;29;212322;18;daily;north
PROFESSOR T.;VRT 1;2024-12-16;1031;47;256922;15;daily;north
SWITCH;VRT 1;2024-12-16;1188;37;836755;5;daily;north
THUIS;VRT 1;2024-12-16;1232;23;1060185;1;daily;north
TER ZAKE;VRT CANVAS;2024-12-16;1200;35;157006;20;daily;north
BDW, POLITIEK BEEST;VTM;2024-12-16;1277;49;260745;14;daily;north
FAMILIE;VTM;2024-12-16;1211;26;653282;6;daily;north
MILO;VTM;2024-12-16;1103;25;307279;12;daily;north
NIEUWS 13U VTM;VTM;2024-12-16;780;33;214883;16;daily;north
NIEUWS 19U VTM;VTM;2024-12-16;1140;58;618187;8;daily;north
SINGLE BELLS;VTM;2024-12-16;1244;23;475161;9;daily;north
VREDERECHTERS;VTM;2024-12-16;1343;47;212867;17;daily;north
DE SLIMSTE MENS TER WERELD;PLAY4;2024-12-17;1276;62;1033554;2;daily;north
DE TAFEL VAN GERT;PLAY4;2024-12-17;1199;69;277084;15;daily;north
STUKKEN VAN DEALERS;PLAY4;2024-12-17;1351;52;337364;13;daily;north
BLOKKEN;VRT 1;2024-12-17;1110;27;632913;6;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-17;1092;16;360888;12;daily;north
DE WARMSTE WEEK;VRT 1;2024-12-17;1325;19;298743;14;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-17;780;25;421881;11;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-17;1140;50;940516;3;daily;north
HET HUIS;VRT 1;2024-12-17;1265;59;861113;4;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-17;1349;27;256297;16;daily;north
PROFESSOR T.;VRT 1;2024-12-17;1031;51;240429;18;daily;north
SWITCH;VRT 1;2024-12-17;1193;36;828946;5;daily;north
THUIS;VRT 1;2024-12-17;1238;24;1066509;1;daily;north
ALLOO BIJ DE VERKEERSPOLITIE;VTM;2024-12-17;1353;55;199816;19;daily;north
FAMILIE;VTM;2024-12-17;1204;25;603922;7;daily;north
MILO;VTM;2024-12-17;1104;24;244931;17;daily;north
NIEUWS 13U VTM;VTM;2024-12-17;780;25;175501;20;daily;north
NIEUWS 19U VTM;VTM;2024-12-17;1140;52;592896;8;daily;north
SINGLE BELLS;VTM;2024-12-17;1237;24;452145;9;daily;north
VER VAN HUIS;VTM;2024-12-17;1272;59;440181;10;daily;north
DE SLIMSTE MENS TER WERELD;PLAY4;2024-12-18;1277;62;1130667;1;daily;north
DE TAFEL VAN GERT;PLAY4;2024-12-18;1199;70;304073;12;daily;north
STUKKEN VAN MENSEN;PLAY4;2024-12-18;1353;49;172054;20;daily;north
BLOKKEN;VRT 1;2024-12-18;1108;27;597744;6;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-18;1088;16;392054;10;daily;north
DE GROTE BOODSCHAP;VRT 1;2024-12-18;1270;52;408953;9;daily;north
DE WARMSTE WEEK;VRT 1;2024-12-18;960;120;174489;19;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-18;780;36;320542;11;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-18;1140;51;925282;3;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-18;1354;28;234352;16;daily;north
SWITCH;VRT 1;2024-12-18;1194;36;762268;4;daily;north
THUIS;VRT 1;2024-12-18;1240;26;953284;2;daily;north
DE AFSPRAAK;VRT CANVAS;2024-12-18;1233;53;209337;17;daily;north
FAMILIE;VTM;2024-12-18;1210;25;621271;5;daily;north
HELDEN VAN HIER, DE MUG;VTM;2024-12-18;1315;48;282810;13;daily;north
MILO;VTM;2024-12-18;1103;25;256804;15;daily;north
NIEUWS 13U VTM;VTM;2024-12-18;780;29;193122;18;daily;north
NIEUWS 19U VTM;VTM;2024-12-18;1140;56;590807;7;daily;north
SINGLE BELLS;VTM;2024-12-18;1242;23;460316;8;daily;north
STERREGEM;VTM;2024-12-18;1276;27;261840;14;daily;north
DE RECHTBANK;PLAY4;2024-12-19;1379;44;215738;17;daily;north
DE SLIMSTE MENS TER WERELD;PLAY4;2024-12-19;1273;65;1273162;1;daily;north
DE SLIMSTE TAFEL;PLAY4;2024-12-19;1351;23;571617;7;daily;north
DE TAFEL VAN GERT;PLAY4;2024-12-19;1199;65;307535;13;daily;north
BLOKKEN;VRT 1;2024-12-19;1108;27;560438;8;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-19;1087;16;355962;11;daily;north
GEUBELS GAAT IN BAD;VRT 1;2024-12-19;1268;83;285539;15;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-19;780;37;367184;10;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-19;1140;53;861220;3;daily;north
PROFESSOR T.;VRT 1;2024-12-19;1030;50;221517;16;daily;north
SWITCH;VRT 1;2024-12-19;1196;36;773465;4;daily;north
THUIS;VRT 1;2024-12-19;1241;25;979805;2;daily;north
VB. C4 UEFA SCHIFT - LARNE/GENT;VRT CANVAS;2024-12-19;1260;104;145549;20;daily;north
DAG & BEDANKT;VTM;2024-12-19;1276;45;346262;12;daily;north
FAMILIE;VTM;2024-12-19;1209;25;585408;6;daily;north
MILO;VTM;2024-12-19;1101;27;298780;14;daily;north
MOORDZAKEN, EEUWIGE TWIJFEL?;VTM;2024-12-19;1339;52;194893;19;daily;north
NIEUWS 13U VTM;VTM;2024-12-19;780;31;208755;18;daily;north
NIEUWS 19U VTM;VTM;2024-12-19;1140;56;597781;5;daily;north
SINGLE BELLS;VTM;2024-12-19;1242;24;444724;9;daily;north
THE BATMAN;PLAY4;2024-12-20;1235;160;114614;20;daily;north
THE ROOKIE;PLAY5;2024-12-20;1235;41;179097;15;daily;north
BLOKKEN;VRT 1;2024-12-20;1109;27;524590;5;daily;north
DAGELIJKSE KOST;VRT 1;2024-12-20;1091;15;329880;10;daily;north
DE WARMSTE WEEK;VRT 1;2024-12-20;1382;25;201937;12;daily;north
DOWNTON ABBEY, A NEW ERA;VRT 1;2024-12-20;1266;115;459023;7;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-20;780;29;372377;9;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-20;1140;52;800709;2;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-20;1409;17;190021;14;daily;north
SWITCH;VRT 1;2024-12-20;1195;35;641666;3;daily;north
THUIS;VRT 1;2024-12-20;1237;25;1008445;1;daily;north
BAS BIRKER, SOWIESO;VRT CANVAS;2024-12-20;1290;91;117767;18;daily;north
DE AFSPRAAK;VRT CANVAS;2024-12-20;1236;52;156045;16;daily;north
TER ZAKE;VRT CANVAS;2024-12-20;1200;33;144533;17;daily;north
DE KOTMADAM;VTM;2024-12-20;1101;26;117042;19;daily;north
DE TIEN OM TE ZIEN;VTM;2024-12-20;1276;48;294277;11;daily;north
FAMILIE;VTM;2024-12-20;1208;25;527939;4;daily;north
NIEUWS 13U VTM;VTM;2024-12-20;780;27;194363;13;daily;north
NIEUWS 19U VTM;VTM;2024-12-20;1140;56;520744;6;daily;north
SINGLE BELLS;VTM;2024-12-20;1242;23;431246;8;daily;north
VERSLAAFD!;PLAY4;2024-12-21;1250;94;132553;17;daily;north
CHANTAL;VRT 1;2024-12-21;1262;45;362567;6;daily;north
DE MARKT;VRT 1;2024-12-21;751;27;167296;14;daily;north
DE WARMSTE WEEK;VRT 1;2024-12-21;1310;27;174438;13;daily;north
DE WEEK VAN BRUZZ;VRT 1;2024-12-21;722;27;129888;19;daily;north
DOWN THE ROAD;VRT 1;2024-12-21;1092;45;309423;9;daily;north
FC DE KAMPIOENEN;VRT 1;2024-12-21;1229;31;523470;3;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2024-12-21;780;32;428198;5;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2024-12-21;1140;42;759199;1;daily;north
HET JOURNAAL LAAT;VRT 1;2024-12-21;1340;17;229157;11;daily;north
IEDEREEN BEROEMD;VRT 1;2024-12-21;1194;31;455604;4;daily;north
THE IMPOSSIBLE;VRT 1;2024-12-21;1369;98;126225;20;daily;north
VELDRIJDEN. HULST (S.);VRT 1;2024-12-21;1057;15;323833;8;daily;north
VILLA POLITICA;VRT 1;2024-12-21;820;35;148487;16;daily;north
THE GYMNASTS;VRT CANVAS;2024-12-21;1229;46;131584;18;daily;north
VRANCKX;VRT CANVAS;2024-12-21;1200;26;160618;15;daily;north
DE FAMILIE CLAUS 2;VTM;2024-12-21;1237;92;276407;10;daily;north
DE KOTMADAM;VTM;2024-12-21;1198;27;356877;7;daily;north
NIEUWS 13U VTM;VTM;2024-12-21;780;32;205103;12;daily;north
NIEUWS 19U VTM;VTM;2024-12-21;1140;46;528517;2;daily;north
SPORTS LATE NIGHT;PLAY4;2024-12-22;1327;56;198530;18;daily;north
